10283020,-776137
15209472,-8326104
1835120,-6520588
28853,-1532800
7386376,3532956
11733239,15848
587560,-6160315
16197876,-5004800
2749568,569508
16023708,-5961552
8428776,2729224
10283127,-775605
15236864,-8326102
8847541,-6520588
46512,-1532800
14200584,-6231908
11470962,43240
553517,-2621256
15216884,-5342464
3208320,568955
16023708,-1570642
8428776,3247624
10283233,-773746
15264000,-8326095
16384139,-6520588
5036,-1467264
1289224,715164
11274443,7145
577327,-6881245
13578228,-5400832
3142784,568727
16023708,-1046350
8428777,3010568
10283340,-774672
15293696,-8326103
6619357,-6520588
56758,-1467264
14530056,8251804
12191844,34537
549927,327822
6563828,-4586240
2552960,571653
16023708,-3667783
8428777,2541576
10283455,-776249
15320832,-8326105
13631576,-6520588
22712,-1467264
178440,-1513060
12126257,61673
536872,131073
9382132,-4532992
2684032,572117
16023708,-7403334
8428778,2680840
10283562,-775960
15348224,-8326104
4390960,-6520588
57784,-1401728
14792712,5499548
12060681,25578
580905,5570668
14494196,-4696832
2749568,571477
16023708,7932088
8428778,2783496
10283669,-775559
15377664,-8326101
11337804,-6520588
19642,-1401728
5028360,-3741028
12257440,52970
565295,7274710
10498036,-4493568
3273856,572359
16023708,-1308485
8428778,3271688
10283784,-773635
15405056,-8326095
1572920,-6520588
14523,-1336192
1358600,3271580
12257312,14827
532529,1310794
15609844,-4549120
3142784,572054
16023708,-1177414
8428779,2964488
10283891,-774852
15432448,-8326099
9109679,-6520588
9656,-1336192
2471944,-6493284
12060889,44267
583207,4915380
15083508,-4764928
2618496,571211
16023708,-1898314
8428779,2614024
10283997,-776221
15461888,-8326104
16121996,-6520588
36021,-1336192
9221384,1043612
11733222,6124
583208,-3276769
15083764,-4993536
2749568,570143
16023708,2885811
8428780,2698248
10284112,-775871
15489280,-8326103
6357154,-6520588
41650,-1270656
10859016,7990428
11667492,33516
533546,-5963630
3025908,-4956416
2880640,570463
16023708,3016884
8428780,2871048
10284219,-775217
15516416,-8326101
13893870,-6520588
26292,-1270656
6730760,-1774436
11798561,62956
530994,-458499
1716980,-4982528
3339392,570361
16023708,7145652
8428781,3370248
10284326,-773267
15545856,-8326093
4129002,-6520588
60085,-1205120
15381768,5762460
11995354,24813
580145,1310824
14299636,-4779008
3208320,571184
16023708,-2488137
8428781,3201544
10284441,-774786
15573248,-8326099
11075769,-6520588
47542,-1205120
7190536,-4002404
12060853,51949
570666,7143643
1255924,-4657920
2749568,571629
16023708,1247416
8428781,2756616
10284548,-775664
15600640,-8326102
1900626,-6520588
56756,-1139584
14529544,3010204
11798689,15854
553003,1572934
7351284,-4974592
2880640,570392
16023708,1640630
8428782,2824456
10284655,-775399
15630080,-8326101
8847488,-6520588
32951,-1139584
8435464,-6230372
11864201,43246
559404,-4521808
8989940,-4867328
3011712,570253
16023708,526515
8428782,2951176
10284770,-774669
15657472,-8326099
15859782,-6520588
18098,-1074048
1160200,782236
11798657,5103
557361,1114147
472564,-4910080
3536000,570644
16023708,460981
8428783,3479304
10284876,-772841
15684864,-8326091
6619208,-6520588
3763,-1074048
963336,7729052
11732994,34543
537139,6488206
3290100,-5152000
3404928,569699
16023708,4655280
8428783,3229448
10284983,-773817
15714304,-8326099
13631502,-6520588
3758,-1074048
962056,-1511524
11208719,61935
528171,-2162439
994292,-5513472
2880640,568740
16023708,1247405
8428784,2822920
10285098,-775167
15741440,-8326100
3866838,-6520588
54961,-1008512
8892936,5501084
11667639,23792
571179,-7929748
15346676,-5127936
2880640,569793
16023708,-1439567
8428784,2914824
10285205,-775046
15768832,-8326100
11403375,-6520588
4020,-1008512
1029128,-4263780
11798554,53232
562477,917719
9776628,-4977152
3011712,570382
16023708,4786355
8428784,3033352
10285312,-774583
15798272,-8326096
1573110,-6520588
63156,-942976
16167944,3273116
11995277,14833
560436,2424897
9254132,-4774656
3536000,571356
16023708,-3536713
8428785,3525128
10285427,-772734
15825664,-8326091
8585357,-6520588
36278,-942976
9221640,-6491748
11929748,42225
562228,-7601995
5518324,-4692480
3404928,571494
16023708,5507256
8428785,3149832
10285534,-774128
15853056,-8326096
16121977,-6520588
29357,-942976
7515400,520860
11339894,6130
571946,6881311
12200692,-5805824
2815104,567145
16023708,2689189
8428786,2828552
10285640,-775383
15882496,-8326101
6356999,-6520588
1958,-877440
501256,8057500
10881190,33522
566827,-5504886
10890228,-5854208
2880640,567524
16023708,-5502808
8428786,2862088
10285755,-775162
15909888,-8326100
13369450,-6520588
27308,-877440
13349128,-1707364
11602130,60914
578092,-3473155
6237684,-4880384
3011712,570760
16023708,6228149
8428787,3009544
10285862,-774676
15937024,-8326099
4128988,-6520588
6838,-811904
1750536,5239708
11929816,24819
579636,-4652952
14169332,-4998912
3470464,570297
16023708,2951345
8428787,3484936
10285969,-772819
15966720,-8326092
11141327,-6520588
53168,-811904
13611016,-4000868
11536436,52211
537651,7667923
3421172,-5212928
3273856,569409
16023708,1378480
8428787,3216648
10286084,-774826
15993856,-8326099
1310847,-6520588
32687,-746368
6926088,3011740
11471019,13812
568106,6881350
15542772,-5372928
2749568,568836
16023708,-1242962
8428788,2771464
10286191,-775606
16021248,-8326102
8913113,-6520588
52143,-746368
13348616,-6753124
11470957,43252
568362,-6815567
11283188,-5400576
2815104,568728
16023708,-63315
8428788,2817800
10286298,-775425
16050688,-8326102
15859866,-6520588
39599,-746368
10137352,783772
11667630,5109
568875,1507355
11414516,-5105920
2946176,569945
16023708,-5306190
8428789,2928392
10286413,-774757
16078080,-8326099
6094851,-6520588
942,-680832
15903496,7796124
11208746,32501
535089,-917362
13579252,-5427200
3404928,568624
16023708,-3209043
8428789,3403016
10286520,-773139
16105472,-8326093
13631639,-6520588
13737,-680832
3516680,-1968740
11077805,61941
579633,-5439239
14168564,-5722880
3273856,567469
16023708,4982953
8428790,3099656
10286626,-774324
16134912,-8326101
3866791,-6520588
42923,-615296
10988296,5568156
11405313,23798
524586,-2293660
76532,-5317376
2749568,569674
16023708,-7141199
8428790,2724616
10286741,-775532
16162304,-8326102
10879058,-6520588
21170,-615296
3650568,-4262244
11798767,51190
585513,3604695
7154420,-4970240
2815104,570409
16023708,7145652
8428790,2813192
10286848,-775443
16189440,-8326102
1638444,-6520588
52402,-549760
13414920,2750364
11667563,15095
531756,6160450
1912052,-5218816
2946176,569438
16023708,-6223698
8428791,2924808
10286955,-775007
16218880,-8326098
8585448,-6520588
59566,-549760
15248904,-6490212
11405314,42231
524851,-6618963
144372,-5334272
3470464,569004
16023708,2492590
8428791,3417608
10287070,-773153
16246272,-8326093
15597774,-6520588
52910,-549760
6336008,522396
11405547,4088
584498,6291488
15872500,-5422080
3273856,568644
16023708,-915283
8428792,3044616
10287177,-774539
16273664,-8326098
6357064,-6520588
25513,-484224
6531336,7534748
11077681,33528
551466,2359434
6957812,-5626880
2815104,567844
16023708,-3471189
8428792,2804488
10287284,-775477
16303104,-8326102
13369511,-6520588
42925,-484224
10988808,-1705828
11536464,60920
544811,262389
5254132,-5241856
2880640,569198
16023708,-7862097
8428793,2852872
10287399,-775264
16330496,-8326101
3604642,-6520588
41645,-418688
11709448,5306780
11274319,22777
544556,-5111704
5451252,-5469952
3011712,568457
16023708,5441708
8428793,3037192
10287505,-774568
16357632,-8326098
11141163,-6520588
21933,-418688
5614856,-4523620
11339841,52217
550196,-8060717
6632692,-5405440
3470464,568709
16023708,657582
8428793,3475976
10287612,-772854
16387328,-8326092
1376374,-6520588
30383,-353152
7778056,3013276
11340027,14074
588595,-3145666
16462836,-5386240
3273856,567639
16023708,5179561
8428794,3231496
10287727,-774814
16414464,-8326099
8388621,-6520588
3493,-353152
4171016,-6751588
10815685,41210
574763,4128945
7220212,-5770496
2880640,567283
16023708,7211175
8428794,2859016
10287834,-775264
16441856,-8326101
15925340,-6520588
26795,-353152
6859528,261020
11208948,5115
570668,-6356964
11873524,-5529856
2946176,568223
16023708,-7665492
8428795,2919176
10287941,-775029
16471296,-8326100
6094862,-6520588
3756,-287616
961544,7797660
11274457,32507
579885,1572998
14233076,-5498880
3077248,568228
16023708,-6747989
8428795,3053832
10288056,-774247
16498688,-8326097
13107331,-6520588
33707,-287616
3582728,-1967204
11208752,59899
536628,3539194
12924404,-5629696
3536000,567833
16023708,-3864406
8428796,3509256
10288163,-772724
16526080,-8326091
3866679,-6520588
17577,-222080
4499720,5045404
11077697,23804
580147,-2293660
14300148,-5710592
3404928,567517
16023708,-3012441
8428796,3199496
10288269,-773934
16555520,-8326099
10879086,-6520588
28326,-222080
7251464,-4195172
10815565,51196
544043,-3473201
5057524,-5911808
2880640,566856
16023708,-6616922
8428796,2857736
10288384,-775188
16582912,-8326101
1114281,-6520588
43430,-156544
1550088,2751900
10946775,13053
579371,1507394
3878132,-5950464
2946176,566580
16023708,3868837
8428797,2941704
10288491,-774941
16610048,-8326100
8650865,-6520588
59550,-156544
15244808,-7012964
10356828,42493
582701,3735725
14953972,-6145792
3011712,565817
16023708,-3143516
8428797,3067912
10288598,-774448
16639488,-8326095
15663243,-6520588
35750,-156544
9152008,523932
11143355,4094
572212,6291480
12268788,-5611520
3536000,567696
16023708,-5437271
8428798,3517704
10288713,-772804
16666880,-8326091
5832947,-6520588
62378,-91008
10923528,7536284
11405408,31486
548916,-5898101
8860404,-5104640
3339392,569884
16023708,-7927630
8428798,3087624
10288820,-774371
16694272,-8326097
13369506,-6520588
28331,-91008
7252744,-2228580
11208831,60926
588586,-4390666
16460532,-5522176
2815104,568253
16023708,-3536722
8428799,2869768
10288927,-775222
16723712,-8326100
3604535,-6520588
14254,-25472
3649032,5308316
11274433,22783
573740,-3538848
12659956,-5453312
2946176,568359
16023708,-456532
8428799,2947336
10289042,-774885
16751104,-8326099
10616910,-6520588
20140,-25472
5417992,-4456548
11274310,50175
542254,5374163
10628852,-5465088
3077248,568476
16023708,-6158164
8428799,3111944
10289148,-774276
1280,-8326097
1376422,-6455052
12206,40320
3124744,2424989
11405352,13824
584501,4718654
15414772,-5421056
3536000,568648
16023709,-1767254
8428800,3532040
10289255,-772635
30720,-8326092
8388751,-6455052
36778,40320
9415176,-6815587
11143386,41216
580147,7274665
14300148,-5607680
3273856,566603
16023709,7997605
8428800,3242504
10289370,-774617
57856,-8326098
15401038,-6455052
20128,40320
3907848,197021
10553536,3073
573483,3866652
5057524,-6080768
2880640,566071
16023709,5048483
8428801,2891528
10289477,-775137
85248,-8326100
6160573,-6455052
38045,105856
9739528,7209373
10291290,32513
547884,6881415
6040820,-6395648
2946176,564841
16023709,-5044060
8428801,2929416
10289584,-774989
114688,-8326099
13107423,-6455052
57256,105856
14657544,-2031203
11143333,59649
566574,2818289
10825460,-5625088
3077248,567588
16023709,-784215
8428802,3077128
10289699,-773992
142080,-8326096
3342430,-6455052
24234,171392
5745416,4981405
11208866,21506
565812,5701733
2242292,-5602304
3601536,567940
16023709,2230442
8428802,3543304
10289806,-772591
169472,-8326090
10878985,-6455052
36008,171392
9218056,-4783459
11012116,50946
532020,-5439281
1979636,-5788416
3470464,567213
16023709,-2815834
8428802,3200264
10289912,-773931
198912,-8326099
1114351,-6455052
61351,236928
15705864,2753437
11012096,12803
524332,-7995334
11508,-5732864
2946176,567549
16023709,-4388696
8428803,2931976
10290027,-774934
226304,-8326100
8126477,-6455052
3499,236928
16099848,-7011427
11143190,40195
529965,-720723
4337140,-5615616
3011712,567888
16023709,4327594
8428803,2988296
10290134,-774759
253440,-8326099
15663323,-6455052
8873,236928
2271496,-64611
11077857,4100
535343,-5505000
2830324,-5723136
3142784,567468
16023709,-456536
8428804,3143944
10290241,-774151
283136,-8326093
5898490,-6455052
64168,302464
16427016,7472285
11143247,31492
544566,3014787
5191412,-5624320
3667072,567977
16023709,8063146
8428804,3635976
10290356,-772410
310272,-8326090
12845282,-6455052
58024,302464
7906568,-2292579
10815583,58628
548661,7864566
4928500,-6183936
3404928,565668
16023709,4917409
8428805,3134216
10290463,-774189
337664,-8326097
3670255,-6455052
41887,368000
10723080,4720029
10422398,22533
553516,-5570463
7482612,-6509824
2946176,564395
16023709,3279003
8428805,2961928
10290570,-774862
367104,-8326099
10617040,-6455052
53401,368000
13670664,-4520547
10029187,49925
557869,-196405
8596980,-6685440
3077248,564704
16023709,2295965
8428805,3023624
10290685,-774596
394496,-8326098
852054,-6455052
22179,433536
15181576,2492061
10946790,11782
583214,-1638338
8728564,-5664512
3142784,567697
16023709,-8058711
8428806,3235336
10290791,-773794
421888,-8326095
8388736,-6455052
48812,433536
12495880,-7272803
11274373,41222
588854,3408041
16529140,-5426176
3601536,568628
16023709,-2881365
8428806,3593224
10290898,-772396
451328,-8326090
15401092,-6455052
33960,433536
8693768,264093
10881127,3079
550709,-3407852
6764020,-5846016
3339392,566289
16023709,2820260
8428807,3287816
10291013,-774533
478720,-8326098
5636344,-6455052
63649,499072
2269192,7210909
10488005,30471
574764,2228359
14363892,-6247168
2946176,565421
16023709,-2422624
8428807,2953480
10291120,-774895
505856,-8326099
13172920,-6455052
30883,499072
7906056,-2553955
10684464,59911
569389,-5570318
11546100,-5985536
3011712,566443
16023709,-3274587
8428808,3001864
10291227,-774706
535296,-8326098
3342392,-6455052
14502,564608
3712520,4982941
10946643,21512
545583,196701
5451764,-5831936
3208320,567273
16023709,5441703
8428808,3166984
10291342,-773407
562688,-8326094
10354864,-6455052
45223,564608
6661896,-4781923
10946783,48904
581429,6619344
3028980,-5931776
3667072,566653
16023709,3016869
8428808,3618824
10291449,-772296
590080,-8326089
1114286,-6455052
47008,630144
12034056,2230685
10487824,12809
576307,6291514
13317108,-6266880
3404928,565344
16023709,1050783
8428809,3215368
10291556,-773872
619520,-8326098
8126645,-6455052
46494,630144
11902472,-7009891
10291337,40201
559404,-458587
8989940,-6424320
2946176,564487
16023709,-2750307
8428809,2938376
10291671,-774736
646912,-8326099
15139009,-6455052
49566,630144
16032008,2717
10553567,2058
581421,-786408
16592372,-5918720
3011712,566704
16023709,-194395
8428810,3071752
10291777,-774433
674048,-8326098
5898255,-6455052
5801,695680
1485064,6949533
11077877,31498
562223,-2162557
9711604,-5710080
3142784,567519
16023709,-4519770
8428810,3193608
10291884,-773957
703744,-8326092
12910789,-6455052
50596,695680
12952584,-2291043
10881024,58890
524343,7602414
14324,-5868544
3667072,566760
16023709,5703845
8428811,3626760
10291999,-772647
730880,-8326091
3145747,-6455052
5030,761216
11249416,4721565
10946618,20491
539189,-5570463
144372,-5785088
3404928,567226
16023709,133287
8428811,3125768
10292106,-774222
758272,-8326097
10682379,-6455052
63142,761216
16164360,-5043299
10881278,49931
577836,-2686772
13708532,-5777664
2946176,567255
16023709,-2684761
8428811,3004168
10292213,-774697
787712,-8326098
852101,-6455052
34215,826752
8759048,2493597
10946704,11788
561198,7340086
9449204,-5804032
3077248,566945
16023709,788646
8428812,3017736
10292328,-774433
815104,-8326098
7864368,-6455052
12453,826752
1221896,-7271267
10815700,39180
578607,1179817
3092724,-5944320
3208320,566604
16023709,3082405
8428812,3269384
10292435,-773661
842496,-8326095
15401142,-6455052
34210,826752
8757768,-258915
10619104,3085
570423,-1900524
11810804,-6167808
3667072,565731
16023709,6228129
8428813,3628808
10292541,-772257
871936,-8326090
5636151,-6455052
14241,892288
3645704,7277981
10553387,30477
535349,7995519
2831860,-6194688
3339392,565608
16023709,198817
8428813,3277576
10292656,-774361
899328,-8326097
12648600,-6455052
39073,892288
6267400,-2552419
10619056,57869
569389,6226162
12791284,-6068480
3011712,566119
16023709,-3995485
8428814,3031304
